Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2006-01-01,65,49
2006-01-08,66,47
2006-01-15,60,53
2006-01-22,52,53
2006-01-29,58,50
2006-02-05,63,63
2006-02-12,44,56
2006-02-19,66,47
2006-02-26,56,33
2006-03-05,55,45
2006-03-12,57,60
2006-03-19,60,50
2006-03-26,51,58
2006-04-02,44,39
2006-04-09,42,47
2006-04-16,62,46
2006-04-23,63,39
2006-04-30,83,35
2006-05-07,92,41
2006-05-14,86,48
2006-05-21,100,39
2006-05-28,75,37
2006-06-04,97,37
2006-06-11,60,48
2006-06-18,41,45
2006-06-25,38,35
2006-07-02,33,47
2006-07-09,33,40
2006-07-16,33,44
2006-07-23,34,50
2006-07-30,28,52
2006-08-06,30,42
2006-08-13,28,59
2006-08-20,24,51
2006-08-27,35,50
2006-09-03,26,53
2006-09-10,28,52
2006-09-17,40,58
2006-09-24,52,40
2006-10-01,61,64
2006-10-08,55,48
2006-10-15,51,50
2006-10-22,62,47
2006-10-29,49,64
2006-11-05,54,44
2006-11-12,45,44
2006-11-19,56,45
2006-11-26,50,43
2006-12-03,47,39
2006-12-10,48,32
2006-12-17,32,26
2006-12-24,29,40
2006-12-31,39,43
