Category: All categories

Week,Novel: (Portugal)
2011-01-02,32
2011-01-09,51
2011-01-16,32
2011-01-23,37
2011-01-30,45
2011-02-06,70
2011-02-13,35
2011-02-20,38
2011-02-27,57
2011-03-06,27
2011-03-13,48
2011-03-20,48
2011-03-27,42
2011-04-03,0
2011-04-10,41
2011-04-17,42
2011-04-24,61
2011-05-01,47
2011-05-08,72
2011-05-15,46
2011-05-22,47
2011-05-29,52
2011-06-05,29
2011-06-12,49
2011-06-19,49
2011-06-26,51
2011-07-03,30
2011-07-10,47
2011-07-17,34
2011-07-24,47
2011-07-31,45
2011-08-07,44
2011-08-14,72
2011-08-21,70
2011-08-28,40
2011-09-04,45
2011-09-11,57
2011-09-18,52
2011-09-25,41
2011-10-02,70
2011-10-09,52
2011-10-16,88
2011-10-23,75
2011-10-30,51
2011-11-06,65
2011-11-13,59
2011-11-20,74
2011-11-27,68
2011-12-04,70
2011-12-11,74
2011-12-18,47
2011-12-25,100
