Category: All categories

Week,Real Estate: (Portugal)
2014-01-05,85
2014-01-12,87
2014-01-19,87
2014-01-26,84
2014-02-02,86
2014-02-09,82
2014-02-16,94
2014-02-23,100
2014-03-02,86
2014-03-09,83
2014-03-16,85
2014-03-23,87
2014-03-30,86
2014-04-06,85
2014-04-13,84
2014-04-20,84
2014-04-27,89
2014-05-04,83
2014-05-11,85
2014-05-18,85
2014-05-25,91
2014-06-01,84
2014-06-08,75
2014-06-15,72
2014-06-22,79
2014-06-29,82
2014-07-06,86
2014-07-13,83
2014-07-20,90
2014-07-27,88
2014-08-03,99
2014-08-10,95
2014-08-17,92
2014-08-24,98
2014-08-31,88
2014-09-07,90
2014-09-14,97
2014-09-21,91
2014-09-28,95
2014-10-05,99
2014-10-12,93
2014-10-19,89
2014-10-26,90
2014-11-02,88
2014-11-09,94
2014-11-16,94
2014-11-23,80
2014-11-30,77
2014-12-07,72
2014-12-14,68
2014-12-21,62
2014-12-28,84
