Category: All categories

Week,Mobile phone: (Portugal)
2011-01-02,83
2011-01-09,74
2011-01-16,73
2011-01-23,73
2011-01-30,73
2011-02-06,69
2011-02-13,70
2011-02-20,67
2011-02-27,66
2011-03-06,66
2011-03-13,61
2011-03-20,64
2011-03-27,62
2011-04-03,55
2011-04-10,57
2011-04-17,61
2011-04-24,58
2011-05-01,63
2011-05-08,65
2011-05-15,64
2011-05-22,61
2011-05-29,66
2011-06-05,59
2011-06-12,66
2011-06-19,58
2011-06-26,60
2011-07-03,68
2011-07-10,69
2011-07-17,63
2011-07-24,72
2011-07-31,76
2011-08-07,76
2011-08-14,70
2011-08-21,73
2011-08-28,70
2011-09-04,70
2011-09-11,68
2011-09-18,70
2011-09-25,70
2011-10-02,67
2011-10-09,66
2011-10-16,59
2011-10-23,69
2011-10-30,66
2011-11-06,68
2011-11-13,70
2011-11-20,71
2011-11-27,71
2011-12-04,79
2011-12-11,77
2011-12-18,81
2011-12-25,92
2012-01-01,75
2012-01-08,71
2012-01-15,72
2012-01-22,71
2012-01-29,70
2012-02-05,73
2012-02-12,67
2012-02-19,67
2012-02-26,69
2012-03-04,66
2012-03-11,66
2012-03-18,65
2012-03-25,61
2012-04-01,62
2012-04-08,59
2012-04-15,59
2012-04-22,65
2012-04-29,64
2012-05-06,64
2012-05-13,62
2012-05-20,59
2012-05-27,66
2012-06-03,65
2012-06-10,64
2012-06-17,64
2012-06-24,66
2012-07-01,68
2012-07-08,75
2012-07-15,74
2012-07-22,74
2012-07-29,77
2012-08-05,80
2012-08-12,81
2012-08-19,83
2012-08-26,79
2012-09-02,82
2012-09-09,72
2012-09-16,70
2012-09-23,75
2012-09-30,77
2012-10-07,68
2012-10-14,62
2012-10-21,70
2012-10-28,71
2012-11-04,72
2012-11-11,71
2012-11-18,75
2012-11-25,75
2012-12-02,85
2012-12-09,83
2012-12-16,83
2012-12-23,100
2012-12-30,89
