Category: All categories

Week,Energy: (Portugal),Mercedes-Benz: (Portugal)
2006-01-01,65,39
2006-01-08,66,44
2006-01-15,60,41
2006-01-22,52,55
2006-01-29,58,51
2006-02-05,63,43
2006-02-12,44,40
2006-02-19,66,44
2006-02-26,56,51
2006-03-05,55,31
2006-03-12,57,49
2006-03-19,60,47
2006-03-26,51,52
2006-04-02,44,64
2006-04-09,42,52
2006-04-16,62,44
2006-04-23,63,50
2006-04-30,83,44
2006-05-07,92,39
2006-05-14,86,35
2006-05-21,100,39
2006-05-28,75,35
2006-06-04,97,32
2006-06-11,60,46
2006-06-18,41,39
2006-06-25,38,39
2006-07-02,33,56
2006-07-09,33,31
2006-07-16,33,48
2006-07-23,34,46
2006-07-30,28,45
2006-08-06,30,50
2006-08-13,28,50
2006-08-20,24,60
2006-08-27,35,41
2006-09-03,26,60
2006-09-10,28,42
2006-09-17,40,39
2006-09-24,52,48
2006-10-01,61,49
2006-10-08,55,46
2006-10-15,51,51
2006-10-22,62,36
2006-10-29,49,42
2006-11-05,54,35
2006-11-12,45,54
2006-11-19,56,44
2006-11-26,50,45
2006-12-03,47,45
2006-12-10,48,40
2006-12-17,32,37
2006-12-24,29,47
2006-12-31,39,45
