Category: All categories

Week,Natural gas: (Portugal)
2018-01-07,95
2018-01-14,77
2018-01-21,70
2018-01-28,73
2018-02-04,89
2018-02-11,70
2018-02-18,78
2018-02-25,68
2018-03-04,55
2018-03-11,59
2018-03-18,76
2018-03-25,53
2018-04-01,66
2018-04-08,64
2018-04-15,63
2018-04-22,64
2018-04-29,57
2018-05-06,52
2018-05-13,49
2018-05-20,48
2018-05-27,59
2018-06-03,47
2018-06-10,57
2018-06-17,42
2018-06-24,57
2018-07-01,56
2018-07-08,52
2018-07-15,54
2018-07-22,39
2018-07-29,57
2018-08-05,53
2018-08-12,42
2018-08-19,61
2018-08-26,53
2018-09-02,54
2018-09-09,51
2018-09-16,59
2018-09-23,53
2018-09-30,38
2018-10-07,62
2018-10-14,63
2018-10-21,66
2018-10-28,100
2018-11-04,94
2018-11-11,73
2018-11-18,82
2018-11-25,88
2018-12-02,77
2018-12-09,78
2018-12-16,77
2018-12-23,68
2018-12-30,83
