Category: All categories

Week,Energy: (Portugal),Restaurant: (Portugal)
2016-01-03,11,55
2016-01-10,10,54
2016-01-17,11,56
2016-01-24,10,59
2016-01-31,9,61
2016-02-07,8,75
2016-02-14,10,72
2016-02-21,10,62
2016-02-28,11,63
2016-03-06,10,60
2016-03-13,9,62
2016-03-20,8,75
2016-03-27,8,66
2016-04-03,10,61
2016-04-10,11,60
2016-04-17,10,62
2016-04-24,10,75
2016-05-01,11,68
2016-05-08,12,60
2016-05-15,12,68
2016-05-22,11,69
2016-05-29,12,60
2016-06-05,9,68
2016-06-12,10,61
2016-06-19,7,64
2016-06-26,8,67
2016-07-03,7,71
2016-07-10,7,72
2016-07-17,7,79
2016-07-24,7,84
2016-07-31,5,85
2016-08-07,5,97
2016-08-14,6,100
2016-08-21,6,98
2016-08-28,8,87
2016-09-04,7,81
2016-09-11,7,70
2016-09-18,8,75
2016-09-25,9,76
2016-10-02,9,84
2016-10-09,9,71
2016-10-16,9,77
2016-10-23,9,70
2016-10-30,8,74
2016-11-06,11,67
2016-11-13,10,72
2016-11-20,10,74
2016-11-27,9,78
2016-12-04,8,76
2016-12-11,8,83
2016-12-18,6,77
2016-12-25,7,100
