Category: All categories

Week,Hairdresser: (Portugal)
2008-01-06,62
2008-01-13,64
2008-01-20,39
2008-01-27,50
2008-02-03,56
2008-02-10,74
2008-02-17,57
2008-02-24,49
2008-03-02,55
2008-03-09,45
2008-03-16,76
2008-03-23,61
2008-03-30,56
2008-04-06,45
2008-04-13,58
2008-04-20,57
2008-04-27,62
2008-05-04,74
2008-05-11,57
2008-05-18,63
2008-05-25,47
2008-06-01,62
2008-06-08,68
2008-06-15,55
2008-06-22,43
2008-06-29,81
2008-07-06,57
2008-07-13,61
2008-07-20,47
2008-07-27,64
2008-08-03,68
2008-08-10,63
2008-08-17,66
2008-08-24,94
2008-08-31,80
2008-09-07,100
2008-09-14,49
2008-09-21,65
2008-09-28,59
2008-10-05,36
2008-10-12,59
2008-10-19,50
2008-10-26,63
2008-11-02,59
2008-11-09,70
2008-11-16,78
2008-11-23,58
2008-11-30,64
2008-12-07,64
2008-12-14,73
2008-12-21,60
2008-12-28,57
