Category: All categories

Week,Dessert: (Portugal)
2017-01-01,42
2017-01-08,48
2017-01-15,63
2017-01-22,62
2017-01-29,51
2017-02-05,67
2017-02-12,71
2017-02-19,59
2017-02-26,68
2017-03-05,49
2017-03-12,55
2017-03-19,57
2017-03-26,61
2017-04-02,56
2017-04-09,72
2017-04-16,52
2017-04-23,50
2017-04-30,56
2017-05-07,51
2017-05-14,51
2017-05-21,47
2017-05-28,55
2017-06-04,55
2017-06-11,61
2017-06-18,49
2017-06-25,51
2017-07-02,51
2017-07-09,60
2017-07-16,51
2017-07-23,52
2017-07-30,59
2017-08-06,58
2017-08-13,62
2017-08-20,56
2017-08-27,59
2017-09-03,56
2017-09-10,44
2017-09-17,47
2017-09-24,51
2017-10-01,54
2017-10-08,55
2017-10-15,47
2017-10-22,58
2017-10-29,67
2017-11-05,48
2017-11-12,53
2017-11-19,41
2017-11-26,49
2017-12-03,50
2017-12-10,59
2017-12-17,100
2017-12-24,97
2017-12-31,59
