Category: All categories

Week,Automotive industry: (Portugal)
2011-01-02,60
2011-01-09,33
2011-01-16,51
2011-01-23,20
2011-01-30,33
2011-02-06,33
2011-02-13,33
2011-02-20,22
2011-02-27,45
2011-03-06,97
2011-03-13,69
2011-03-20,43
2011-03-27,38
2011-04-03,39
2011-04-10,45
2011-04-17,0
2011-04-24,50
2011-05-01,22
2011-05-08,23
2011-05-15,25
2011-05-22,0
2011-05-29,16
2011-06-05,27
2011-06-12,18
2011-06-19,0
2011-06-26,31
2011-07-03,48
2011-07-10,0
2011-07-17,68
2011-07-24,0
2011-07-31,47
2011-08-07,54
2011-08-14,0
2011-08-21,28
2011-08-28,27
2011-09-04,0
2011-09-11,22
2011-09-18,26
2011-09-25,48
2011-10-02,22
2011-10-09,24
2011-10-16,30
2011-10-23,0
2011-10-30,42
2011-11-06,100
2011-11-13,50
2011-11-20,0
2011-11-27,18
2011-12-04,26
2011-12-11,43
2011-12-18,59
2011-12-25,0
