Category: All categories

Week,Gasoline: (Portugal)
2017-01-01,72
2017-01-08,73
2017-01-15,72
2017-01-22,68
2017-01-29,77
2017-02-05,78
2017-02-12,81
2017-02-19,79
2017-02-26,79
2017-03-05,73
2017-03-12,65
2017-03-19,76
2017-03-26,72
2017-04-02,75
2017-04-09,69
2017-04-16,85
2017-04-23,71
2017-04-30,86
2017-05-07,71
2017-05-14,72
2017-05-21,75
2017-05-28,77
2017-06-04,64
2017-06-11,72
2017-06-18,77
2017-06-25,78
2017-07-02,82
2017-07-09,69
2017-07-16,88
2017-07-23,87
2017-07-30,85
2017-08-06,85
2017-08-13,100
2017-08-20,76
2017-08-27,93
2017-09-03,86
2017-09-10,86
2017-09-17,91
2017-09-24,92
2017-10-01,72
2017-10-08,79
2017-10-15,72
2017-10-22,87
2017-10-29,85
2017-11-05,81
2017-11-12,92
2017-11-19,79
2017-11-26,74
2017-12-03,74
2017-12-10,80
2017-12-17,78
2017-12-24,78
2017-12-31,95
