Category: All categories

Week,Energy: (Portugal),Potato: (Portugal)
2015-01-04,87,48
2015-01-11,100,57
2015-01-18,93,60
2015-01-25,85,56
2015-02-01,75,54
2015-02-08,76,53
2015-02-15,70,58
2015-02-22,92,57
2015-03-01,84,47
2015-03-08,83,48
2015-03-15,84,58
2015-03-22,69,56
2015-03-29,58,47
2015-04-05,73,46
2015-04-12,82,48
2015-04-19,78,48
2015-04-26,73,50
2015-05-03,77,41
2015-05-10,84,50
2015-05-17,78,46
2015-05-24,84,48
2015-05-31,71,49
2015-06-07,75,40
2015-06-14,65,43
2015-06-21,56,34
2015-06-28,57,36
2015-07-05,50,39
2015-07-12,52,35
2015-07-19,48,42
2015-07-26,56,37
2015-08-02,41,36
2015-08-09,43,41
2015-08-16,46,45
2015-08-23,44,45
2015-08-30,55,46
2015-09-06,55,49
2015-09-13,50,54
2015-09-20,58,56
2015-09-27,65,53
2015-10-04,62,48
2015-10-11,67,66
2015-10-18,64,71
2015-10-25,69,77
2015-11-01,69,63
2015-11-08,62,60
2015-11-15,62,56
2015-11-22,71,64
2015-11-29,71,58
2015-12-06,63,67
2015-12-13,66,57
2015-12-20,39,80
2015-12-27,54,56
