Category: All categories

Week,Energy: (Portugal),Lumber: (Portugal)
2011-01-02,69,0
2011-01-09,82,1
2011-01-16,81,0
2011-01-23,78,0
2011-01-30,74,0
2011-02-06,80,1
2011-02-13,72,1
2011-02-20,83,1
2011-02-27,79,0
2011-03-06,65,0
2011-03-13,89,1
2011-03-20,82,0
2011-03-27,75,1
2011-04-03,70,0
2011-04-10,51,0
2011-04-17,59,0
2011-04-24,73,0
2011-05-01,82,0
2011-05-08,82,4
2011-05-15,94,0
2011-05-22,100,2
2011-05-29,98,0
2011-06-05,91,0
2011-06-12,99,0
2011-06-19,80,0
2011-06-26,100,1
2011-07-03,88,0
2011-07-10,83,0
2011-07-17,92,1
2011-07-24,78,0
2011-07-31,57,1
2011-08-07,47,1
2011-08-14,45,1
2011-08-21,49,0
2011-08-28,43,1
2011-09-04,52,1
2011-09-11,48,0
2011-09-18,61,1
2011-09-25,62,0
2011-10-02,65,0
2011-10-09,63,2
2011-10-16,71,0
2011-10-23,64,0
2011-10-30,61,0
2011-11-06,66,0
2011-11-13,71,1
2011-11-20,66,2
2011-11-27,63,0
2011-12-04,58,0
2011-12-11,62,1
2011-12-18,41,1
2011-12-25,51,0
