Category: All categories

Week,Energy: (Portugal),Dessert: (Portugal)
2012-01-01,74,15
2012-01-08,85,17
2012-01-15,84,15
2012-01-22,81,17
2012-01-29,70,20
2012-02-05,81,21
2012-02-12,73,25
2012-02-19,64,20
2012-02-26,77,17
2012-03-04,77,15
2012-03-11,84,20
2012-03-18,81,19
2012-03-25,64,20
2012-04-01,53,28
2012-04-08,68,16
2012-04-15,89,19
2012-04-22,75,19
2012-04-29,81,18
2012-05-06,90,18
2012-05-13,97,17
2012-05-20,95,18
2012-05-27,100,17
2012-06-03,83,19
2012-06-10,77,18
2012-06-17,67,20
2012-06-24,72,21
2012-07-01,67,21
2012-07-08,60,26
2012-07-15,51,30
2012-07-22,46,29
2012-07-29,42,28
2012-08-05,42,23
2012-08-12,41,30
2012-08-19,45,23
2012-08-26,46,20
2012-09-02,46,20
2012-09-09,58,22
2012-09-16,66,20
2012-09-23,56,19
2012-09-30,52,21
2012-10-07,58,17
2012-10-14,61,19
2012-10-21,62,18
2012-10-28,63,25
2012-11-04,67,22
2012-11-11,63,23
2012-11-18,66,19
2012-11-25,71,21
2012-12-02,69,19
2012-12-09,67,18
2012-12-16,56,26
2012-12-23,64,32
2012-12-30,72,25
