Category: All categories

Week,Nightclub: (Portugal)
2012-01-01,59
2012-01-08,40
2012-01-15,51
2012-01-22,56
2012-01-29,48
2012-02-05,62
2012-02-12,75
2012-02-19,55
2012-02-26,56
2012-03-04,51
2012-03-11,62
2012-03-18,58
2012-03-25,62
2012-04-01,46
2012-04-08,56
2012-04-15,45
2012-04-22,57
2012-04-29,51
2012-05-06,52
2012-05-13,35
2012-05-20,50
2012-05-27,53
2012-06-03,51
2012-06-10,42
2012-06-17,44
2012-06-24,52
2012-07-01,56
2012-07-08,66
2012-07-15,100
2012-07-22,78
2012-07-29,74
2012-08-05,76
2012-08-12,98
2012-08-19,68
2012-08-26,78
2012-09-02,58
2012-09-09,44
2012-09-16,43
2012-09-23,44
2012-09-30,45
2012-10-07,33
2012-10-14,41
2012-10-21,45
2012-10-28,51
2012-11-04,31
2012-11-11,42
2012-11-18,34
2012-11-25,43
2012-12-02,51
2012-12-09,36
2012-12-16,55
2012-12-23,64
2012-12-30,50
