Category: All categories

Week,T-shirt: (Portugal)
2010-01-03,46
2010-01-10,48
2010-01-17,48
2010-01-24,28
2010-01-31,66
2010-02-07,45
2010-02-14,52
2010-02-21,59
2010-02-28,47
2010-03-07,52
2010-03-14,73
2010-03-21,52
2010-03-28,46
2010-04-04,54
2010-04-11,64
2010-04-18,63
2010-04-25,73
2010-05-02,75
2010-05-09,100
2010-05-16,88
2010-05-23,67
2010-05-30,75
2010-06-06,67
2010-06-13,70
2010-06-20,71
2010-06-27,82
2010-07-04,68
2010-07-11,61
2010-07-18,63
2010-07-25,67
2010-08-01,68
2010-08-08,66
2010-08-15,67
2010-08-22,70
2010-08-29,53
2010-09-05,47
2010-09-12,57
2010-09-19,45
2010-09-26,51
2010-10-03,49
2010-10-10,41
2010-10-17,52
2010-10-24,47
2010-10-31,60
2010-11-07,45
2010-11-14,37
2010-11-21,40
2010-11-28,46
2010-12-05,50
2010-12-12,46
2010-12-19,37
2010-12-26,44
