Category: All categories

Week,Energy: (Portugal),Lumber: (Portugal)
2009-01-04,93,0
2009-01-11,78,0
2009-01-18,71,1
2009-01-25,73,2
2009-02-01,67,0
2009-02-08,72,0
2009-02-15,90,1
2009-02-22,71,0
2009-03-01,100,0
2009-03-08,88,0
2009-03-15,82,0
2009-03-22,89,1
2009-03-29,58,0
2009-04-05,60,0
2009-04-12,79,2
2009-04-19,79,2
2009-04-26,79,0
2009-05-03,82,0
2009-05-10,77,0
2009-05-17,76,1
2009-05-24,96,1
2009-05-31,77,0
2009-06-07,58,0
2009-06-14,71,0
2009-06-21,52,0
2009-06-28,53,0
2009-07-05,57,0
2009-07-12,50,0
2009-07-19,44,4
2009-07-26,44,1
2009-08-02,40,0
2009-08-09,39,1
2009-08-16,33,0
2009-08-23,35,0
2009-08-30,40,3
2009-09-06,31,0
2009-09-13,48,0
2009-09-20,49,0
2009-09-27,53,1
2009-10-04,51,0
2009-10-11,55,0
2009-10-18,63,0
2009-10-25,58,0
2009-11-01,67,0
2009-11-08,66,0
2009-11-15,70,1
2009-11-22,60,0
2009-11-29,55,0
2009-12-06,58,2
2009-12-13,61,0
2009-12-20,32,0
2009-12-27,36,0
