Category: All categories

Week,Natural gas: (Portugal)
2017-01-01,56
2017-01-08,58
2017-01-15,70
2017-01-22,68
2017-01-29,54
2017-02-05,46
2017-02-12,47
2017-02-19,50
2017-02-26,50
2017-03-05,51
2017-03-12,50
2017-03-19,53
2017-03-26,40
2017-04-02,44
2017-04-09,34
2017-04-16,33
2017-04-23,44
2017-04-30,34
2017-05-07,45
2017-05-14,45
2017-05-21,37
2017-05-28,44
2017-06-04,36
2017-06-11,33
2017-06-18,42
2017-06-25,41
2017-07-02,49
2017-07-09,29
2017-07-16,42
2017-07-23,33
2017-07-30,45
2017-08-06,36
2017-08-13,30
2017-08-20,38
2017-08-27,36
2017-09-03,40
2017-09-10,36
2017-09-17,42
2017-09-24,43
2017-10-01,44
2017-10-08,40
2017-10-15,43
2017-10-22,53
2017-10-29,45
2017-11-05,51
2017-11-12,58
2017-11-19,46
2017-11-26,76
2017-12-03,100
2017-12-10,76
2017-12-17,50
2017-12-24,62
2017-12-31,63
