Category: All categories

Week,Interior design: (Portugal)
2012-01-01,69
2012-01-08,77
2012-01-15,77
2012-01-22,83
2012-01-29,74
2012-02-05,82
2012-02-12,78
2012-02-19,72
2012-02-26,87
2012-03-04,74
2012-03-11,77
2012-03-18,82
2012-03-25,75
2012-04-01,78
2012-04-08,69
2012-04-15,88
2012-04-22,78
2012-04-29,69
2012-05-06,68
2012-05-13,70
2012-05-20,75
2012-05-27,69
2012-06-03,67
2012-06-10,65
2012-06-17,68
2012-06-24,68
2012-07-01,69
2012-07-08,73
2012-07-15,77
2012-07-22,70
2012-07-29,71
2012-08-05,82
2012-08-12,85
2012-08-19,100
2012-08-26,90
2012-09-02,89
2012-09-09,80
2012-09-16,82
2012-09-23,76
2012-09-30,79
2012-10-07,84
2012-10-14,82
2012-10-21,81
2012-10-28,78
2012-11-04,89
2012-11-11,85
2012-11-18,82
2012-11-25,81
2012-12-02,72
2012-12-09,63
2012-12-16,55
2012-12-23,51
2012-12-30,61
2013-01-06,70
2013-01-13,82
2013-01-20,88
2013-01-27,77
2013-02-03,82
2013-02-10,70
2013-02-17,76
2013-02-24,66
2013-03-03,78
2013-03-10,78
2013-03-17,75
2013-03-24,86
2013-03-31,64
2013-04-07,75
2013-04-14,72
2013-04-21,79
2013-04-28,73
2013-05-05,75
2013-05-12,68
2013-05-19,77
2013-05-26,76
2013-06-02,72
2013-06-09,69
2013-06-16,70
2013-06-23,59
2013-06-30,63
2013-07-07,61
2013-07-14,75
2013-07-21,74
2013-07-28,74
2013-08-04,88
2013-08-11,77
2013-08-18,90
2013-08-25,94
2013-09-01,88
2013-09-08,81
2013-09-15,84
2013-09-22,78
2013-09-29,79
2013-10-06,77
2013-10-13,86
2013-10-20,87
2013-10-27,85
2013-11-03,92
2013-11-10,90
2013-11-17,89
2013-11-24,85
2013-12-01,73
2013-12-08,71
2013-12-15,66
2013-12-22,64
2013-12-29,71
