Category: All categories

Week,Energy: (Portugal),Used car: (Portugal)
2008-01-06,71,54
2008-01-13,66,50
2008-01-20,61,57
2008-01-27,62,41
2008-02-03,54,52
2008-02-10,61,51
2008-02-17,73,48
2008-02-24,73,44
2008-03-02,72,41
2008-03-09,60,36
2008-03-16,53,40
2008-03-23,47,42
2008-03-30,74,36
2008-04-06,68,40
2008-04-13,68,39
2008-04-20,82,42
2008-04-27,66,33
2008-05-04,89,35
2008-05-11,82,42
2008-05-18,90,34
2008-05-25,100,34
2008-06-01,95,35
2008-06-08,76,39
2008-06-15,69,38
2008-06-22,55,33
2008-06-29,50,32
2008-07-06,51,35
2008-07-13,60,42
2008-07-20,35,42
2008-07-27,31,35
2008-08-03,34,33
2008-08-10,28,37
2008-08-17,38,41
2008-08-24,32,43
2008-08-31,36,35
2008-09-07,39,41
2008-09-14,52,46
2008-09-21,59,40
2008-09-28,61,39
2008-10-05,66,41
2008-10-12,60,41
2008-10-19,58,37
2008-10-26,59,33
2008-11-02,53,33
2008-11-09,65,32
2008-11-16,72,35
2008-11-23,61,36
2008-11-30,57,34
2008-12-07,54,36
2008-12-14,63,37
2008-12-21,40,43
2008-12-28,51,44
