Category: All categories

Week,Energy: (Portugal),Interior design: (Portugal)
2014-01-05,84,66
2014-01-12,80,79
2014-01-19,77,73
2014-01-26,81,78
2014-02-02,71,70
2014-02-09,79,71
2014-02-16,71,71
2014-02-23,73,66
2014-03-02,69,68
2014-03-09,72,64
2014-03-16,79,70
2014-03-23,85,69
2014-03-30,76,69
2014-04-06,60,65
2014-04-13,59,63
2014-04-20,67,62
2014-04-27,66,64
2014-05-04,77,61
2014-05-11,86,66
2014-05-18,99,60
2014-05-25,100,68
2014-06-01,94,68
2014-06-08,88,67
2014-06-15,83,55
2014-06-22,79,60
2014-06-29,67,70
2014-07-06,68,64
2014-07-13,60,69
2014-07-20,51,68
2014-07-27,49,61
2014-08-03,47,76
2014-08-10,43,68
2014-08-17,51,73
2014-08-24,46,76
2014-08-31,62,73
2014-09-07,54,71
2014-09-14,67,76
2014-09-21,65,70
2014-09-28,69,69
2014-10-05,78,78
2014-10-12,70,75
2014-10-19,64,72
2014-10-26,72,79
2014-11-02,71,67
2014-11-09,78,76
2014-11-16,66,76
2014-11-23,64,79
2014-11-30,63,72
2014-12-07,70,65
2014-12-14,63,57
2014-12-21,58,49
2014-12-28,73,64
