Category: All categories

Week,Television: (Portugal)
2010-01-03,65
2010-01-10,67
2010-01-17,74
2010-01-24,70
2010-01-31,66
2010-02-07,67
2010-02-14,77
2010-02-21,86
2010-02-28,78
2010-03-07,69
2010-03-14,76
2010-03-21,75
2010-03-28,70
2010-04-04,73
2010-04-11,83
2010-04-18,68
2010-04-25,62
2010-05-02,89
2010-05-09,76
2010-05-16,57
2010-05-23,57
2010-05-30,57
2010-06-06,86
2010-06-13,100
2010-06-20,93
2010-06-27,63
2010-07-04,54
2010-07-11,60
2010-07-18,61
2010-07-25,62
2010-08-01,76
2010-08-08,54
2010-08-15,70
2010-08-22,67
2010-08-29,60
2010-09-05,59
2010-09-12,64
2010-09-19,79
2010-09-26,70
2010-10-03,79
2010-10-10,65
2010-10-17,76
2010-10-24,78
2010-10-31,73
2010-11-07,88
2010-11-14,65
2010-11-21,81
2010-11-28,86
2010-12-05,66
2010-12-12,70
2010-12-19,64
2010-12-26,60
