Category: All categories

Week,Energy: (Portugal),Footwear: (Portugal)
2011-01-02,69,4
2011-01-09,82,1
2011-01-16,81,0
2011-01-23,78,1
2011-01-30,74,1
2011-02-06,80,2
2011-02-13,72,0
2011-02-20,83,1
2011-02-27,79,0
2011-03-06,65,0
2011-03-13,89,3
2011-03-20,82,3
2011-03-27,75,0
2011-04-03,70,2
2011-04-10,51,4
2011-04-17,59,1
2011-04-24,73,1
2011-05-01,82,1
2011-05-08,82,0
2011-05-15,94,2
2011-05-22,100,0
2011-05-29,98,1
2011-06-05,91,1
2011-06-12,99,2
2011-06-19,80,2
2011-06-26,100,2
2011-07-03,88,0
2011-07-10,83,1
2011-07-17,92,0
2011-07-24,78,3
2011-07-31,57,0
2011-08-07,47,0
2011-08-14,45,2
2011-08-21,49,0
2011-08-28,43,3
2011-09-04,52,1
2011-09-11,48,2
2011-09-18,61,1
2011-09-25,62,1
2011-10-02,65,1
2011-10-09,63,1
2011-10-16,71,0
2011-10-23,64,1
2011-10-30,61,2
2011-11-06,66,1
2011-11-13,71,1
2011-11-20,66,1
2011-11-27,63,1
2011-12-04,58,1
2011-12-11,62,1
2011-12-18,41,2
2011-12-25,51,1
