Category: All categories

Week,Used car: (Portugal)
2008-01-06,90
2008-01-13,77
2008-01-20,92
2008-01-27,68
2008-02-03,89
2008-02-10,83
2008-02-17,83
2008-02-24,75
2008-03-02,71
2008-03-09,61
2008-03-16,64
2008-03-23,69
2008-03-30,67
2008-04-06,69
2008-04-13,67
2008-04-20,70
2008-04-27,58
2008-05-04,65
2008-05-11,72
2008-05-18,59
2008-05-25,59
2008-06-01,62
2008-06-08,61
2008-06-15,65
2008-06-22,60
2008-06-29,52
2008-07-06,58
2008-07-13,71
2008-07-20,72
2008-07-27,59
2008-08-03,56
2008-08-10,62
2008-08-17,75
2008-08-24,71
2008-08-31,58
2008-09-07,67
2008-09-14,76
2008-09-21,67
2008-09-28,64
2008-10-05,67
2008-10-12,65
2008-10-19,63
2008-10-26,58
2008-11-02,56
2008-11-09,48
2008-11-16,56
2008-11-23,55
2008-11-30,58
2008-12-07,62
2008-12-14,62
2008-12-21,71
2008-12-28,77
2009-01-04,74
2009-01-11,68
2009-01-18,95
2009-01-25,70
2009-02-01,85
2009-02-08,76
2009-02-15,85
2009-02-22,92
2009-03-01,81
2009-03-08,77
2009-03-15,86
2009-03-22,91
2009-03-29,71
2009-04-05,84
2009-04-12,83
2009-04-19,79
2009-04-26,78
2009-05-03,71
2009-05-10,82
2009-05-17,73
2009-05-24,72
2009-05-31,68
2009-06-07,82
2009-06-14,79
2009-06-21,78
2009-06-28,77
2009-07-05,84
2009-07-12,89
2009-07-19,85
2009-07-26,93
2009-08-02,96
2009-08-09,80
2009-08-16,96
2009-08-23,88
2009-08-30,95
2009-09-06,89
2009-09-13,94
2009-09-20,83
2009-09-27,91
2009-10-04,100
2009-10-11,83
2009-10-18,100
2009-10-25,78
2009-11-01,79
2009-11-08,82
2009-11-15,80
2009-11-22,87
2009-11-29,85
2009-12-06,76
2009-12-13,70
2009-12-20,87
2009-12-27,88
