Category: All categories

Week,Nightclub: (Portugal)
2014-01-05,51
2014-01-12,63
2014-01-19,64
2014-01-26,69
2014-02-02,66
2014-02-09,58
2014-02-16,59
2014-02-23,55
2014-03-02,54
2014-03-09,49
2014-03-16,65
2014-03-23,45
2014-03-30,48
2014-04-06,58
2014-04-13,52
2014-04-20,64
2014-04-27,67
2014-05-04,51
2014-05-11,41
2014-05-18,64
2014-05-25,43
2014-06-01,42
2014-06-08,59
2014-06-15,43
2014-06-22,48
2014-06-29,51
2014-07-06,65
2014-07-13,81
2014-07-20,76
2014-07-27,100
2014-08-03,83
2014-08-10,88
2014-08-17,81
2014-08-24,69
2014-08-31,65
2014-09-07,53
2014-09-14,61
2014-09-21,46
2014-09-28,63
2014-10-05,50
2014-10-12,57
2014-10-19,44
2014-10-26,52
2014-11-02,52
2014-11-09,53
2014-11-16,56
2014-11-23,48
2014-11-30,50
2014-12-07,55
2014-12-14,64
2014-12-21,75
2014-12-28,88
