Category: All categories

Week,Energy: (Portugal),ebook: (Portugal)
2018-01-07,83,10
2018-01-14,85,15
2018-01-21,87,14
2018-01-28,79,11
2018-02-04,75,12
2018-02-11,73,14
2018-02-18,83,14
2018-02-25,82,12
2018-03-04,80,12
2018-03-11,94,12
2018-03-18,87,15
2018-03-25,84,8
2018-04-01,84,14
2018-04-08,82,13
2018-04-15,90,7
2018-04-22,90,6
2018-04-29,85,9
2018-05-06,79,9
2018-05-13,83,8
2018-05-20,94,10
2018-05-27,80,9
2018-06-03,100,9
2018-06-10,84,11
2018-06-17,67,8
2018-06-24,58,9
2018-07-01,57,10
2018-07-08,54,12
2018-07-15,58,12
2018-07-22,59,8
2018-07-29,57,13
2018-08-05,50,11
2018-08-12,51,13
2018-08-19,57,11
2018-08-26,55,7
2018-09-02,61,13
2018-09-09,56,8
2018-09-16,59,12
2018-09-23,79,10
2018-09-30,69,11
2018-10-07,91,12
2018-10-14,74,13
2018-10-21,77,11
2018-10-28,70,10
2018-11-04,75,15
2018-11-11,78,14
2018-11-18,77,12
2018-11-25,85,16
2018-12-02,81,9
2018-12-09,70,10
2018-12-16,61,10
2018-12-23,50,13
2018-12-30,65,10
