Category: All categories

Week,Shoes: (Portugal)
2016-01-03,74
2016-01-10,72
2016-01-17,72
2016-01-24,64
2016-01-31,69
2016-02-07,68
2016-02-14,72
2016-02-21,78
2016-02-28,74
2016-03-06,82
2016-03-13,77
2016-03-20,80
2016-03-27,79
2016-04-03,79
2016-04-10,75
2016-04-17,80
2016-04-24,84
2016-05-01,82
2016-05-08,80
2016-05-15,81
2016-05-22,82
2016-05-29,75
2016-06-05,78
2016-06-12,72
2016-06-19,71
2016-06-26,73
2016-07-03,71
2016-07-10,65
2016-07-17,70
2016-07-24,71
2016-07-31,68
2016-08-07,61
2016-08-14,66
2016-08-21,67
2016-08-28,66
2016-09-04,74
2016-09-11,78
2016-09-18,79
2016-09-25,88
2016-10-02,84
2016-10-09,100
2016-10-16,93
2016-10-23,85
2016-10-30,82
2016-11-06,84
2016-11-13,80
2016-11-20,81
2016-11-27,80
2016-12-04,77
2016-12-11,73
2016-12-18,64
2016-12-25,72
2017-01-01,72
2017-01-08,67
2017-01-15,60
2017-01-22,72
2017-01-29,67
2017-02-05,64
2017-02-12,64
2017-02-19,68
2017-02-26,70
2017-03-05,68
2017-03-12,73
2017-03-19,73
2017-03-26,75
2017-04-02,82
2017-04-09,87
2017-04-16,74
2017-04-23,76
2017-04-30,79
2017-05-07,76
2017-05-14,75
2017-05-21,83
2017-05-28,83
2017-06-04,83
2017-06-11,73
2017-06-18,66
2017-06-25,70
2017-07-02,78
2017-07-09,73
2017-07-16,65
2017-07-23,67
2017-07-30,67
2017-08-06,68
2017-08-13,63
2017-08-20,66
2017-08-27,68
2017-09-03,66
2017-09-10,79
2017-09-17,87
2017-09-24,84
2017-10-01,73
2017-10-08,81
2017-10-15,82
2017-10-22,80
2017-10-29,83
2017-11-05,84
2017-11-12,78
2017-11-19,79
2017-11-26,75
2017-12-03,83
2017-12-10,79
2017-12-17,69
2017-12-24,81
2017-12-31,70
