Category: All categories

Week,Energy: (Portugal),Lawyer: (Portugal)
2008-01-06,70,20
2008-01-13,69,26
2008-01-20,61,20
2008-01-27,63,28
2008-02-03,54,20
2008-02-10,61,20
2008-02-17,73,26
2008-02-24,73,31
2008-03-02,69,23
2008-03-09,63,25
2008-03-16,52,25
2008-03-23,52,29
2008-03-30,74,28
2008-04-06,66,19
2008-04-13,69,20
2008-04-20,72,16
2008-04-27,67,18
2008-05-04,91,30
2008-05-11,80,26
2008-05-18,88,18
2008-05-25,100,23
2008-06-01,94,23
2008-06-08,75,17
2008-06-15,69,23
2008-06-22,60,29
2008-06-29,53,26
2008-07-06,50,28
2008-07-13,56,27
2008-07-20,34,24
2008-07-27,30,24
2008-08-03,38,24
2008-08-10,28,17
2008-08-17,37,19
2008-08-24,34,20
2008-08-31,36,22
2008-09-07,41,31
2008-09-14,53,25
2008-09-21,59,27
2008-09-28,60,25
2008-10-05,66,30
2008-10-12,57,27
2008-10-19,55,31
2008-10-26,59,29
2008-11-02,54,25
2008-11-09,63,29
2008-11-16,73,28
2008-11-23,61,26
2008-11-30,57,25
2008-12-07,54,26
2008-12-14,61,27
2008-12-21,40,15
2008-12-28,47,13
