Category: All categories

Week,Energy: (Portugal),Lumber: (Portugal)
2014-01-05,85,2
2014-01-12,80,4
2014-01-19,80,5
2014-01-26,82,4
2014-02-02,73,2
2014-02-09,80,3
2014-02-16,71,3
2014-02-23,76,3
2014-03-02,68,5
2014-03-09,72,5
2014-03-16,81,4
2014-03-23,86,2
2014-03-30,77,2
2014-04-06,62,6
2014-04-13,61,3
2014-04-20,67,3
2014-04-27,67,3
2014-05-04,79,3
2014-05-11,86,1
2014-05-18,99,0
2014-05-25,100,4
2014-06-01,97,3
2014-06-08,88,4
2014-06-15,84,3
2014-06-22,78,2
2014-06-29,69,0
2014-07-06,69,2
2014-07-13,61,1
2014-07-20,52,4
2014-07-27,51,3
2014-08-03,48,3
2014-08-10,41,2
2014-08-17,51,2
2014-08-24,46,3
2014-08-31,62,2
2014-09-07,56,1
2014-09-14,66,0
2014-09-21,66,3
2014-09-28,72,0
2014-10-05,79,2
2014-10-12,71,1
2014-10-19,64,2
2014-10-26,74,2
2014-11-02,72,1
2014-11-09,76,2
2014-11-16,67,4
2014-11-23,66,2
2014-11-30,63,3
2014-12-07,74,2
2014-12-14,65,4
2014-12-21,58,2
2014-12-28,73,1
