Category: All categories

Week,Footwear: (Portugal)
2016-01-03,20
2016-01-10,57
2016-01-17,0
2016-01-24,24
2016-01-31,15
2016-02-07,16
2016-02-14,14
2016-02-21,26
2016-02-28,23
2016-03-06,16
2016-03-13,9
2016-03-20,0
2016-03-27,44
2016-04-03,24
2016-04-10,15
2016-04-17,10
2016-04-24,16
2016-05-01,9
2016-05-08,19
2016-05-15,0
2016-05-22,9
2016-05-29,18
2016-06-05,14
2016-06-12,0
2016-06-19,0
2016-06-26,19
2016-07-03,18
2016-07-10,15
2016-07-17,13
2016-07-24,13
2016-07-31,0
2016-08-07,27
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,42
2016-09-11,30
2016-09-18,22
2016-09-25,19
2016-10-02,18
2016-10-09,14
2016-10-16,0
2016-10-23,0
2016-10-30,14
2016-11-06,31
2016-11-13,34
2016-11-20,0
2016-11-27,45
2016-12-04,52
2016-12-11,56
2016-12-18,58
2016-12-25,53
2017-01-01,64
2017-01-08,49
2017-01-15,56
2017-01-22,32
2017-01-29,45
2017-02-05,53
2017-02-12,55
2017-02-19,34
2017-02-26,67
2017-03-05,54
2017-03-12,81
2017-03-19,75
2017-03-26,46
2017-04-02,48
2017-04-09,57
2017-04-16,50
2017-04-23,49
2017-04-30,68
2017-05-07,62
2017-05-14,49
2017-05-21,62
2017-05-28,71
2017-06-04,76
2017-06-11,46
2017-06-18,66
2017-06-25,53
2017-07-02,100
2017-07-09,84
2017-07-16,46
2017-07-23,73
2017-07-30,41
2017-08-06,46
2017-08-13,27
2017-08-20,34
2017-08-27,22
2017-09-03,66
2017-09-10,90
2017-09-17,79
2017-09-24,74
2017-10-01,40
2017-10-08,51
2017-10-15,54
2017-10-22,46
2017-10-29,34
2017-11-05,78
2017-11-12,73
2017-11-19,96
2017-11-26,44
2017-12-03,95
2017-12-10,61
2017-12-17,58
2017-12-24,25
2017-12-31,44
