Category: All categories

Week,Energy: (Portugal),Coffee: (Portugal)
2018-01-07,51,88
2018-01-14,54,84
2018-01-21,53,89
2018-01-28,49,83
2018-02-04,45,80
2018-02-11,44,87
2018-02-18,51,88
2018-02-25,49,79
2018-03-04,51,94
2018-03-11,59,93
2018-03-18,52,88
2018-03-25,53,94
2018-04-01,51,87
2018-04-08,49,86
2018-04-15,56,86
2018-04-22,53,86
2018-04-29,55,89
2018-05-06,49,86
2018-05-13,50,80
2018-05-20,57,85
2018-05-27,48,87
2018-06-03,62,87
2018-06-10,51,87
2018-06-17,42,77
2018-06-24,37,87
2018-07-01,36,82
2018-07-08,34,83
2018-07-15,37,91
2018-07-22,37,85
2018-07-29,34,83
2018-08-05,32,85
2018-08-12,33,87
2018-08-19,35,92
2018-08-26,34,96
2018-09-02,37,85
2018-09-09,35,82
2018-09-16,37,90
2018-09-23,47,84
2018-09-30,43,93
2018-10-07,55,80
2018-10-14,46,97
2018-10-21,47,92
2018-10-28,42,88
2018-11-04,46,88
2018-11-11,47,96
2018-11-18,49,88
2018-11-25,50,92
2018-12-02,50,95
2018-12-09,41,95
2018-12-16,39,93
2018-12-23,31,99
2018-12-30,41,100
