Category: All categories

Week,Tobacco: (Portugal)
2016-01-03,37
2016-01-10,62
2016-01-17,48
2016-01-24,32
2016-01-31,67
2016-02-07,48
2016-02-14,66
2016-02-21,46
2016-02-28,50
2016-03-06,60
2016-03-13,32
2016-03-20,47
2016-03-27,39
2016-04-03,28
2016-04-10,55
2016-04-17,33
2016-04-24,54
2016-05-01,49
2016-05-08,51
2016-05-15,76
2016-05-22,100
2016-05-29,35
2016-06-05,55
2016-06-12,38
2016-06-19,22
2016-06-26,41
2016-07-03,61
2016-07-10,42
2016-07-17,56
2016-07-24,38
2016-07-31,26
2016-08-07,70
2016-08-14,20
2016-08-21,46
2016-08-28,28
2016-09-04,47
2016-09-11,25
2016-09-18,14
2016-09-25,28
2016-10-02,11
2016-10-09,67
2016-10-16,36
2016-10-23,33
2016-10-30,44
2016-11-06,76
2016-11-13,52
2016-11-20,39
2016-11-27,26
2016-12-04,0
2016-12-11,10
2016-12-18,0
2016-12-25,22
