Category: All categories

Week,Energy: (Portugal),Margarine: (Portugal)
2018-01-07,82,0
2018-01-14,86,1
2018-01-21,85,2
2018-01-28,79,0
2018-02-04,72,1
2018-02-11,71,2
2018-02-18,82,2
2018-02-25,78,1
2018-03-04,82,0
2018-03-11,95,1
2018-03-18,83,3
2018-03-25,85,1
2018-04-01,82,2
2018-04-08,79,1
2018-04-15,90,0
2018-04-22,85,1
2018-04-29,89,1
2018-05-06,79,2
2018-05-13,80,2
2018-05-20,92,0
2018-05-27,77,0
2018-06-03,100,2
2018-06-10,82,2
2018-06-17,67,1
2018-06-24,59,0
2018-07-01,58,1
2018-07-08,55,3
2018-07-15,60,0
2018-07-22,59,1
2018-07-29,55,0
2018-08-05,51,1
2018-08-12,53,2
2018-08-19,55,0
2018-08-26,54,1
2018-09-02,59,0
2018-09-09,56,0
2018-09-16,59,1
2018-09-23,76,2
2018-09-30,69,1
2018-10-07,88,1
2018-10-14,74,2
2018-10-21,76,2
2018-10-28,68,3
2018-11-04,75,4
2018-11-11,76,0
2018-11-18,79,2
2018-11-25,81,2
2018-12-02,81,4
2018-12-09,66,3
2018-12-16,63,2
2018-12-23,49,1
2018-12-30,65,0
