Category: All categories

Week,Energy: (Portugal),Restaurant: (Portugal)
2012-01-01,21,66
2012-01-08,25,68
2012-01-15,25,67
2012-01-22,24,74
2012-01-29,20,76
2012-02-05,23,78
2012-02-12,22,100
2012-02-19,20,78
2012-02-26,23,65
2012-03-04,23,73
2012-03-11,25,65
2012-03-18,24,64
2012-03-25,18,65
2012-04-01,15,71
2012-04-08,20,70
2012-04-15,26,70
2012-04-22,22,76
2012-04-29,24,74
2012-05-06,28,75
2012-05-13,29,65
2012-05-20,28,67
2012-05-27,29,72
2012-06-03,24,67
2012-06-10,23,65
2012-06-17,20,63
2012-06-24,21,69
2012-07-01,19,69
2012-07-08,18,75
2012-07-15,15,75
2012-07-22,14,84
2012-07-29,12,87
2012-08-05,12,90
2012-08-12,13,98
2012-08-19,13,99
2012-08-26,13,86
2012-09-02,14,80
2012-09-09,17,73
2012-09-16,19,78
2012-09-23,16,79
2012-09-30,16,73
2012-10-07,17,68
2012-10-14,18,67
2012-10-21,18,65
2012-10-28,19,68
2012-11-04,20,61
2012-11-11,18,65
2012-11-18,20,75
2012-11-25,21,77
2012-12-02,20,82
2012-12-09,20,89
2012-12-16,16,78
2012-12-23,19,89
2012-12-30,21,88
