Category: All categories

Week,Energy: (Portugal),Clothing: (Portugal)
2016-01-03,37,100
2016-01-10,32,98
2016-01-17,34,89
2016-01-24,32,93
2016-01-31,31,97
2016-02-07,26,90
2016-02-14,32,81
2016-02-21,33,89
2016-02-28,36,80
2016-03-06,33,86
2016-03-13,30,77
2016-03-20,26,86
2016-03-27,27,86
2016-04-03,31,84
2016-04-10,35,98
2016-04-17,34,83
2016-04-24,34,86
2016-05-01,35,86
2016-05-08,38,85
2016-05-15,39,91
2016-05-22,37,91
2016-05-29,38,84
2016-06-05,30,90
2016-06-12,32,81
2016-06-19,22,80
2016-06-26,24,78
2016-07-03,23,82
2016-07-10,22,72
2016-07-17,23,82
2016-07-24,23,73
2016-07-31,19,78
2016-08-07,18,67
2016-08-14,18,76
2016-08-21,21,77
2016-08-28,25,87
2016-09-04,23,85
2016-09-11,23,89
2016-09-18,27,84
2016-09-25,29,89
2016-10-02,29,95
2016-10-09,29,93
2016-10-16,28,96
2016-10-23,30,97
2016-10-30,28,95
2016-11-06,34,91
2016-11-13,32,92
2016-11-20,31,98
2016-11-27,30,95
2016-12-04,27,100
2016-12-11,24,96
2016-12-18,20,76
2016-12-25,23,94
