Category: All categories

Week,Travel agency: (Portugal)
2012-01-01,66
2012-01-08,44
2012-01-15,79
2012-01-22,54
2012-01-29,41
2012-02-05,40
2012-02-12,45
2012-02-19,51
2012-02-26,53
2012-03-04,67
2012-03-11,66
2012-03-18,66
2012-03-25,60
2012-04-01,64
2012-04-08,68
2012-04-15,60
2012-04-22,66
2012-04-29,45
2012-05-06,61
2012-05-13,64
2012-05-20,65
2012-05-27,68
2012-06-03,70
2012-06-10,78
2012-06-17,61
2012-06-24,85
2012-07-01,100
2012-07-08,80
2012-07-15,86
2012-07-22,65
2012-07-29,79
2012-08-05,83
2012-08-12,88
2012-08-19,64
2012-08-26,48
2012-09-02,53
2012-09-09,42
2012-09-16,43
2012-09-23,39
2012-09-30,31
2012-10-07,27
2012-10-14,38
2012-10-21,40
2012-10-28,34
2012-11-04,36
2012-11-11,29
2012-11-18,27
2012-11-25,39
2012-12-02,27
2012-12-09,31
2012-12-16,20
2012-12-23,34
2012-12-30,47
