Category: All categories

Week,Renovation: (Portugal)
2014-01-05,57
2014-01-12,0
2014-01-19,31
2014-01-26,37
2014-02-02,0
2014-02-09,28
2014-02-16,56
2014-02-23,69
2014-03-02,100
2014-03-09,57
2014-03-16,55
2014-03-23,0
2014-03-30,47
2014-04-06,57
2014-04-13,57
2014-04-20,60
2014-04-27,0
2014-05-04,72
2014-05-11,49
2014-05-18,53
2014-05-25,39
2014-06-01,46
2014-06-08,60
2014-06-15,23
2014-06-22,41
2014-06-29,77
2014-07-06,62
2014-07-13,68
2014-07-20,35
2014-07-27,55
2014-08-03,65
2014-08-10,50
2014-08-17,26
2014-08-24,0
2014-08-31,51
2014-09-07,20
2014-09-14,39
2014-09-21,18
2014-09-28,99
2014-10-05,60
2014-10-12,49
2014-10-19,70
2014-10-26,48
2014-11-02,52
2014-11-09,39
2014-11-16,30
2014-11-23,38
2014-11-30,59
2014-12-07,50
2014-12-14,0
2014-12-21,0
2014-12-28,30
