Category: All categories

Week,Nightclub: (Portugal)
2011-01-02,55
2011-01-09,47
2011-01-16,70
2011-01-23,63
2011-01-30,40
2011-02-06,63
2011-02-13,52
2011-02-20,62
2011-02-27,72
2011-03-06,73
2011-03-13,43
2011-03-20,55
2011-03-27,64
2011-04-03,63
2011-04-10,54
2011-04-17,64
2011-04-24,63
2011-05-01,59
2011-05-08,69
2011-05-15,46
2011-05-22,49
2011-05-29,76
2011-06-05,77
2011-06-12,64
2011-06-19,44
2011-06-26,45
2011-07-03,87
2011-07-10,56
2011-07-17,67
2011-07-24,62
2011-07-31,83
2011-08-07,63
2011-08-14,84
2011-08-21,69
2011-08-28,52
2011-09-04,53
2011-09-11,50
2011-09-18,47
2011-09-25,64
2011-10-02,82
2011-10-09,53
2011-10-16,56
2011-10-23,52
2011-10-30,59
2011-11-06,57
2011-11-13,64
2011-11-20,54
2011-11-27,44
2011-12-04,69
2011-12-11,51
2011-12-18,77
2011-12-25,100
