Category: All categories

Week,Used car: (Portugal)
2018-01-07,97
2018-01-14,100
2018-01-21,99
2018-01-28,99
2018-02-04,95
2018-02-11,93
2018-02-18,93
2018-02-25,87
2018-03-04,90
2018-03-11,94
2018-03-18,79
2018-03-25,92
2018-04-01,79
2018-04-08,88
2018-04-15,78
2018-04-22,75
2018-04-29,81
2018-05-06,76
2018-05-13,66
2018-05-20,74
2018-05-27,84
2018-06-03,80
2018-06-10,80
2018-06-17,67
2018-06-24,65
2018-07-01,74
2018-07-08,67
2018-07-15,89
2018-07-22,75
2018-07-29,79
2018-08-05,86
2018-08-12,91
2018-08-19,81
2018-08-26,95
2018-09-02,75
2018-09-09,81
2018-09-16,86
2018-09-23,92
2018-09-30,82
2018-10-07,87
2018-10-14,79
2018-10-21,78
2018-10-28,79
2018-11-04,73
2018-11-11,83
2018-11-18,70
2018-11-25,68
2018-12-02,70
2018-12-09,71
2018-12-16,71
2018-12-23,91
2018-12-30,82
