Category: All categories

Week,Energy: (Portugal),Natural gas: (Portugal)
2007-01-07,70,7
2007-01-14,70,4
2007-01-21,68,5
2007-01-28,71,5
2007-02-04,58,5
2007-02-11,59,0
2007-02-18,43,7
2007-02-25,62,6
2007-03-04,73,6
2007-03-11,66,5
2007-03-18,72,3
2007-03-25,53,11
2007-04-01,54,3
2007-04-08,83,6
2007-04-15,78,5
2007-04-22,79,8
2007-04-29,68,7
2007-05-06,100,6
2007-05-13,98,13
2007-05-20,92,10
2007-05-27,94,5
2007-06-03,93,9
2007-06-10,79,6
2007-06-17,49,0
2007-06-24,50,2
2007-07-01,44,9
2007-07-08,48,4
2007-07-15,40,6
2007-07-22,43,5
2007-07-29,36,0
2007-08-05,38,4
2007-08-12,38,2
2007-08-19,48,6
2007-08-26,36,3
2007-09-02,53,6
2007-09-09,45,7
2007-09-16,49,8
2007-09-23,68,6
2007-09-30,57,9
2007-10-07,70,5
2007-10-14,74,7
2007-10-21,71,3
2007-10-28,73,8
2007-11-04,83,9
2007-11-11,83,0
2007-11-18,78,11
2007-11-25,81,5
2007-12-02,78,3
2007-12-09,79,5
2007-12-16,46,8
2007-12-23,38,3
2007-12-30,53,4
