Category: All categories

Week,Lumber: (Portugal)
2018-01-07,94
2018-01-14,57
2018-01-21,51
2018-01-28,44
2018-02-04,54
2018-02-11,56
2018-02-18,58
2018-02-25,56
2018-03-04,57
2018-03-11,73
2018-03-18,66
2018-03-25,80
2018-04-01,100
2018-04-08,0
2018-04-15,61
2018-04-22,46
2018-04-29,39
2018-05-06,32
2018-05-13,22
2018-05-20,67
2018-05-27,29
2018-06-03,32
2018-06-10,57
2018-06-17,72
2018-06-24,33
2018-07-01,21
2018-07-08,0
2018-07-15,42
2018-07-22,39
2018-07-29,32
2018-08-05,23
2018-08-12,57
2018-08-19,42
2018-08-26,71
2018-09-02,52
2018-09-09,48
2018-09-16,32
2018-09-23,25
2018-09-30,35
2018-10-07,37
2018-10-14,59
2018-10-21,44
2018-10-28,88
2018-11-04,98
2018-11-11,47
2018-11-18,69
2018-11-25,63
2018-12-02,49
2018-12-09,76
2018-12-16,57
2018-12-23,49
2018-12-30,98
