Category: All categories

Week,Energy: (Portugal),Renovation: (Portugal)
2012-01-01,74,2
2012-01-08,88,2
2012-01-15,85,2
2012-01-22,83,3
2012-01-29,70,2
2012-02-05,79,4
2012-02-12,76,0
2012-02-19,68,2
2012-02-26,78,0
2012-03-04,78,3
2012-03-11,86,1
2012-03-18,82,1
2012-03-25,61,1
2012-04-01,51,2
2012-04-08,69,2
2012-04-15,89,1
2012-04-22,77,3
2012-04-29,83,1
2012-05-06,96,1
2012-05-13,99,3
2012-05-20,98,2
2012-05-27,100,0
2012-06-03,82,2
2012-06-10,79,3
2012-06-17,69,1
2012-06-24,72,2
2012-07-01,66,2
2012-07-08,61,2
2012-07-15,52,1
2012-07-22,48,0
2012-07-29,43,2
2012-08-05,43,1
2012-08-12,44,0
2012-08-19,45,3
2012-08-26,46,2
2012-09-02,49,2
2012-09-09,58,2
2012-09-16,67,3
2012-09-23,57,2
2012-09-30,54,2
2012-10-07,59,5
2012-10-14,61,2
2012-10-21,62,3
2012-10-28,64,0
2012-11-04,69,3
2012-11-11,63,2
2012-11-18,68,3
2012-11-25,72,3
2012-12-02,70,2
2012-12-09,69,2
2012-12-16,56,0
2012-12-23,65,1
2012-12-30,73,2
