Category: All categories

Week,Automotive industry: (Portugal)
2012-01-01,77
2012-01-08,20
2012-01-15,68
2012-01-22,51
2012-01-29,31
2012-02-05,84
2012-02-12,53
2012-02-19,80
2012-02-26,84
2012-03-04,51
2012-03-11,52
2012-03-18,37
2012-03-25,0
2012-04-01,59
2012-04-08,31
2012-04-15,16
2012-04-22,0
2012-04-29,0
2012-05-06,18
2012-05-13,31
2012-05-20,25
2012-05-27,36
2012-06-03,75
2012-06-10,15
2012-06-17,18
2012-06-24,49
2012-07-01,33
2012-07-08,22
2012-07-15,34
2012-07-22,38
2012-07-29,0
2012-08-05,36
2012-08-12,0
2012-08-19,23
2012-08-26,29
2012-09-02,35
2012-09-09,35
2012-09-16,50
2012-09-23,38
2012-09-30,0
2012-10-07,51
2012-10-14,33
2012-10-21,53
2012-10-28,100
2012-11-04,27
2012-11-11,44
2012-11-18,46
2012-11-25,66
2012-12-02,19
2012-12-09,36
2012-12-16,16
2012-12-23,17
2012-12-30,39
2013-01-06,49
2013-01-13,21
2013-01-20,43
2013-01-27,35
2013-02-03,56
2013-02-10,25
2013-02-17,62
2013-02-24,24
2013-03-03,20
2013-03-10,46
2013-03-17,20
2013-03-24,28
2013-03-31,44
2013-04-07,31
2013-04-14,25
2013-04-21,19
2013-04-28,52
2013-05-05,41
2013-05-12,49
2013-05-19,33
2013-05-26,29
2013-06-02,24
2013-06-09,60
2013-06-16,30
2013-06-23,32
2013-06-30,24
2013-07-07,25
2013-07-14,21
2013-07-21,39
2013-07-28,15
2013-08-04,0
2013-08-11,45
2013-08-18,29
2013-08-25,0
2013-09-01,17
2013-09-08,13
2013-09-15,27
2013-09-22,52
2013-09-29,28
2013-10-06,57
2013-10-13,20
2013-10-20,22
2013-10-27,21
2013-11-03,39
2013-11-10,38
2013-11-17,68
2013-11-24,35
2013-12-01,77
2013-12-08,20
2013-12-15,57
2013-12-22,51
2013-12-29,51
