Category: All categories

Week,Amusement park: (Portugal)
2008-01-06,40
2008-01-13,0
2008-01-20,0
2008-01-27,0
2008-02-03,37
2008-02-10,42
2008-02-17,30
2008-02-24,73
2008-03-02,0
2008-03-09,27
2008-03-16,21
2008-03-23,89
2008-03-30,81
2008-04-06,53
2008-04-13,47
2008-04-20,73
2008-04-27,55
2008-05-04,0
2008-05-11,24
2008-05-18,63
2008-05-25,75
2008-06-01,27
2008-06-08,35
2008-06-15,48
2008-06-22,0
2008-06-29,0
2008-07-06,64
2008-07-13,69
2008-07-20,43
2008-07-27,66
2008-08-03,100
2008-08-10,81
2008-08-17,95
2008-08-24,0
2008-08-31,54
2008-09-07,0
2008-09-14,31
2008-09-21,0
2008-09-28,30
2008-10-05,23
2008-10-12,0
2008-10-19,0
2008-10-26,0
2008-11-02,22
2008-11-09,21
2008-11-16,0
2008-11-23,0
2008-11-30,0
2008-12-07,24
2008-12-14,21
2008-12-21,60
2008-12-28,0
2009-01-04,0
2009-01-11,0
2009-01-18,35
2009-01-25,52
2009-02-01,26
2009-02-08,25
2009-02-15,23
2009-02-22,34
2009-03-01,20
2009-03-08,39
2009-03-15,21
2009-03-22,0
2009-03-29,25
2009-04-05,39
2009-04-12,24
2009-04-19,43
2009-04-26,32
2009-05-03,27
2009-05-10,23
2009-05-17,50
2009-05-24,76
2009-05-31,46
2009-06-07,80
2009-06-14,39
2009-06-21,83
2009-06-28,49
2009-07-05,41
2009-07-12,50
2009-07-19,93
2009-07-26,58
2009-08-02,95
2009-08-09,49
2009-08-16,49
2009-08-23,0
2009-08-30,42
2009-09-06,47
2009-09-13,18
2009-09-20,0
2009-09-27,43
2009-10-04,0
2009-10-11,24
2009-10-18,47
2009-10-25,14
2009-11-01,0
2009-11-08,15
2009-11-15,36
2009-11-22,54
2009-11-29,22
2009-12-06,14
2009-12-13,0
2009-12-20,40
2009-12-27,0
