Category: All categories

Week,Energy: (Portugal),Margarine: (Portugal)
2015-01-04,87,2
2015-01-11,100,4
2015-01-18,93,3
2015-01-25,85,1
2015-02-01,75,0
2015-02-08,76,2
2015-02-15,70,3
2015-02-22,92,3
2015-03-01,84,1
2015-03-08,83,3
2015-03-15,84,1
2015-03-22,69,1
2015-03-29,58,2
2015-04-05,73,2
2015-04-12,82,2
2015-04-19,78,5
2015-04-26,73,2
2015-05-03,77,2
2015-05-10,84,2
2015-05-17,78,2
2015-05-24,84,3
2015-05-31,71,2
2015-06-07,75,0
2015-06-14,65,2
2015-06-21,56,2
2015-06-28,57,1
2015-07-05,50,3
2015-07-12,52,3
2015-07-19,48,1
2015-07-26,56,0
2015-08-02,41,13
2015-08-09,43,2
2015-08-16,46,1
2015-08-23,44,0
2015-08-30,55,2
2015-09-06,55,1
2015-09-13,50,1
2015-09-20,58,1
2015-09-27,65,0
2015-10-04,62,2
2015-10-11,67,1
2015-10-18,64,3
2015-10-25,69,2
2015-11-01,69,1
2015-11-08,62,0
2015-11-15,62,1
2015-11-22,71,2
2015-11-29,71,1
2015-12-06,63,0
2015-12-13,66,5
2015-12-20,39,1
2015-12-27,54,2
