Category: All categories

Week,Television: (Portugal)
2016-01-03,62
2016-01-10,60
2016-01-17,63
2016-01-24,56
2016-01-31,60
2016-02-07,100
2016-02-14,58
2016-02-21,56
2016-02-28,73
2016-03-06,56
2016-03-13,60
2016-03-20,59
2016-03-27,70
2016-04-03,59
2016-04-10,57
2016-04-17,67
2016-04-24,70
2016-05-01,52
2016-05-08,60
2016-05-15,71
2016-05-22,50
2016-05-29,45
2016-06-05,49
2016-06-12,57
2016-06-19,57
2016-06-26,47
2016-07-03,42
2016-07-10,43
2016-07-17,47
2016-07-24,55
2016-07-31,47
2016-08-07,51
2016-08-14,51
2016-08-21,60
2016-08-28,51
2016-09-04,52
2016-09-11,56
2016-09-18,70
2016-09-25,55
2016-10-02,55
2016-10-09,50
2016-10-16,53
2016-10-23,60
2016-10-30,56
2016-11-06,56
2016-11-13,52
2016-11-20,60
2016-11-27,67
2016-12-04,33
2016-12-11,59
2016-12-18,40
2016-12-25,37
