Category: All categories

Week,Novel: (Portugal)
2007-01-07,0
2007-01-14,0
2007-01-21,36
2007-01-28,0
2007-02-04,24
2007-02-11,62
2007-02-18,0
2007-02-25,37
2007-03-04,60
2007-03-11,0
2007-03-18,94
2007-03-25,43
2007-04-01,0
2007-04-08,34
2007-04-15,27
2007-04-22,0
2007-04-29,0
2007-05-06,0
2007-05-13,47
2007-05-20,58
2007-05-27,0
2007-06-03,23
2007-06-10,21
2007-06-17,0
2007-06-24,26
2007-07-01,0
2007-07-08,0
2007-07-15,26
2007-07-22,0
2007-07-29,0
2007-08-05,0
2007-08-12,100
2007-08-19,21
2007-08-26,0
2007-09-02,21
2007-09-09,15
2007-09-16,21
2007-09-23,24
2007-09-30,0
2007-10-07,34
2007-10-14,30
2007-10-21,18
2007-10-28,27
2007-11-04,18
2007-11-11,32
2007-11-18,25
2007-11-25,0
2007-12-02,53
2007-12-09,24
2007-12-16,39
2007-12-23,28
2007-12-30,16
