Category: All categories

Week,Energy: (Portugal),Petroleum: (Portugal)
2012-01-01,71,10
2012-01-08,85,11
2012-01-15,82,11
2012-01-22,80,9
2012-01-29,69,15
2012-02-05,78,13
2012-02-12,73,13
2012-02-19,64,12
2012-02-26,74,11
2012-03-04,77,16
2012-03-11,82,16
2012-03-18,80,18
2012-03-25,63,11
2012-04-01,51,11
2012-04-08,67,13
2012-04-15,89,14
2012-04-22,74,12
2012-04-29,81,10
2012-05-06,90,15
2012-05-13,96,15
2012-05-20,95,18
2012-05-27,100,16
2012-06-03,82,14
2012-06-10,77,13
2012-06-17,65,11
2012-06-24,72,8
2012-07-01,66,8
2012-07-08,60,14
2012-07-15,53,10
2012-07-22,45,11
2012-07-29,41,11
2012-08-05,42,7
2012-08-12,41,12
2012-08-19,44,6
2012-08-26,45,9
2012-09-02,46,16
2012-09-09,57,13
2012-09-16,65,12
2012-09-23,57,12
2012-09-30,53,10
2012-10-07,58,12
2012-10-14,60,12
2012-10-21,61,14
2012-10-28,63,11
2012-11-04,67,15
2012-11-11,62,11
2012-11-18,65,12
2012-11-25,71,13
2012-12-02,68,11
2012-12-09,65,10
2012-12-16,55,10
2012-12-23,62,7
2012-12-30,72,11
