Category: All categories

Week,Energy: (Portugal),Natural gas: (Portugal)
2011-01-02,64,10
2011-01-09,82,9
2011-01-16,79,8
2011-01-23,76,10
2011-01-30,73,9
2011-02-06,79,7
2011-02-13,70,7
2011-02-20,82,5
2011-02-27,75,8
2011-03-06,66,8
2011-03-13,86,9
2011-03-20,79,8
2011-03-27,75,7
2011-04-03,69,8
2011-04-10,50,4
2011-04-17,58,9
2011-04-24,72,11
2011-05-01,81,8
2011-05-08,79,6
2011-05-15,91,6
2011-05-22,100,9
2011-05-29,95,8
2011-06-05,88,7
2011-06-12,96,5
2011-06-19,79,7
2011-06-26,99,6
2011-07-03,81,6
2011-07-10,79,5
2011-07-17,91,6
2011-07-24,77,6
2011-07-31,55,5
2011-08-07,46,7
2011-08-14,42,7
2011-08-21,51,6
2011-08-28,43,9
2011-09-04,51,8
2011-09-11,48,5
2011-09-18,57,9
2011-09-25,60,9
2011-10-02,64,8
2011-10-09,60,8
2011-10-16,72,6
2011-10-23,63,7
2011-10-30,58,9
2011-11-06,67,10
2011-11-13,70,9
2011-11-20,64,10
2011-11-27,61,6
2011-12-04,58,8
2011-12-11,66,6
2011-12-18,40,6
2011-12-25,51,9
