Category: All categories

Week,T-shirt: (Portugal)
2013-01-06,48
2013-01-13,56
2013-01-20,59
2013-01-27,68
2013-02-03,62
2013-02-10,62
2013-02-17,60
2013-02-24,69
2013-03-03,68
2013-03-10,80
2013-03-17,74
2013-03-24,76
2013-03-31,66
2013-04-07,76
2013-04-14,87
2013-04-21,80
2013-04-28,93
2013-05-05,84
2013-05-12,92
2013-05-19,92
2013-05-26,100
2013-06-02,90
2013-06-09,89
2013-06-16,89
2013-06-23,92
2013-06-30,96
2013-07-07,90
2013-07-14,78
2013-07-21,83
2013-07-28,80
2013-08-04,89
2013-08-11,97
2013-08-18,83
2013-08-25,91
2013-09-01,77
2013-09-08,70
2013-09-15,64
2013-09-22,71
2013-09-29,69
2013-10-06,71
2013-10-13,72
2013-10-20,71
2013-10-27,64
2013-11-03,70
2013-11-10,72
2013-11-17,75
2013-11-24,79
2013-12-01,72
2013-12-08,77
2013-12-15,78
2013-12-22,56
2013-12-29,58
