Category: All categories

Week,Fur: (Portugal)
2007-01-07,0
2007-01-14,42
2007-01-21,0
2007-01-28,29
2007-02-04,0
2007-02-11,0
2007-02-18,59
2007-02-25,0
2007-03-04,36
2007-03-11,0
2007-03-18,50
2007-03-25,37
2007-04-01,0
2007-04-08,0
2007-04-15,0
2007-04-22,30
2007-04-29,22
2007-05-06,56
2007-05-13,31
2007-05-20,0
2007-05-27,0
2007-06-03,85
2007-06-10,18
2007-06-17,27
2007-06-24,20
2007-07-01,26
2007-07-08,26
2007-07-15,0
2007-07-22,31
2007-07-29,93
2007-08-05,100
2007-08-12,55
2007-08-19,40
2007-08-26,0
2007-09-02,0
2007-09-09,0
2007-09-16,40
2007-09-23,29
2007-09-30,0
2007-10-07,0
2007-10-14,0
2007-10-21,20
2007-10-28,0
2007-11-04,0
2007-11-11,0
2007-11-18,17
2007-11-25,0
2007-12-02,0
2007-12-09,28
2007-12-16,0
2007-12-23,0
2007-12-30,42
2008-01-06,15
2008-01-13,0
2008-01-20,40
2008-01-27,55
2008-02-03,18
2008-02-10,18
2008-02-17,15
2008-02-24,26
2008-03-02,0
2008-03-09,39
2008-03-16,20
2008-03-23,39
2008-03-30,56
2008-04-06,27
2008-04-13,23
2008-04-20,23
2008-04-27,0
2008-05-04,14
2008-05-11,14
2008-05-18,17
2008-05-25,0
2008-06-01,0
2008-06-08,0
2008-06-15,19
2008-06-22,15
2008-06-29,0
2008-07-06,14
2008-07-13,0
2008-07-20,0
2008-07-27,33
2008-08-03,0
2008-08-10,31
2008-08-17,64
2008-08-24,28
2008-08-31,37
2008-09-07,17
2008-09-14,0
2008-09-21,0
2008-09-28,32
2008-10-05,0
2008-10-12,0
2008-10-19,14
2008-10-26,26
2008-11-02,0
2008-11-09,19
2008-11-16,27
2008-11-23,28
2008-11-30,21
2008-12-07,17
2008-12-14,57
2008-12-21,51
2008-12-28,35
