Category: All categories

Week,Energy: (Portugal),Television: (Portugal)
2016-01-03,15,62
2016-01-10,13,60
2016-01-17,14,63
2016-01-24,13,56
2016-01-31,12,60
2016-02-07,10,100
2016-02-14,13,58
2016-02-21,13,56
2016-02-28,14,73
2016-03-06,13,56
2016-03-13,12,60
2016-03-20,10,59
2016-03-27,11,70
2016-04-03,12,59
2016-04-10,14,57
2016-04-17,13,67
2016-04-24,13,70
2016-05-01,14,52
2016-05-08,15,60
2016-05-15,15,71
2016-05-22,15,50
2016-05-29,15,45
2016-06-05,12,49
2016-06-12,13,57
2016-06-19,9,57
2016-06-26,10,47
2016-07-03,9,42
2016-07-10,9,43
2016-07-17,9,47
2016-07-24,9,55
2016-07-31,8,47
2016-08-07,7,51
2016-08-14,7,51
2016-08-21,8,60
2016-08-28,10,51
2016-09-04,9,52
2016-09-11,9,56
2016-09-18,11,70
2016-09-25,12,55
2016-10-02,12,55
2016-10-09,11,50
2016-10-16,11,53
2016-10-23,12,60
2016-10-30,11,56
2016-11-06,13,56
2016-11-13,13,52
2016-11-20,12,60
2016-11-27,12,67
2016-12-04,11,33
2016-12-11,10,59
2016-12-18,8,40
2016-12-25,9,37
