Category: All categories

Week,Shoes: (Portugal)
2018-01-07,67
2018-01-14,70
2018-01-21,68
2018-01-28,65
2018-02-04,66
2018-02-11,63
2018-02-18,69
2018-02-25,66
2018-03-04,66
2018-03-11,72
2018-03-18,71
2018-03-25,71
2018-04-01,75
2018-04-08,70
2018-04-15,77
2018-04-22,80
2018-04-29,79
2018-05-06,93
2018-05-13,77
2018-05-20,82
2018-05-27,83
2018-06-03,82
2018-06-10,74
2018-06-17,71
2018-06-24,77
2018-07-01,78
2018-07-08,68
2018-07-15,75
2018-07-22,75
2018-07-29,70
2018-08-05,69
2018-08-12,67
2018-08-19,62
2018-08-26,62
2018-09-02,70
2018-09-09,70
2018-09-16,72
2018-09-23,70
2018-09-30,78
2018-10-07,84
2018-10-14,100
2018-10-21,92
2018-10-28,82
2018-11-04,79
2018-11-11,75
2018-11-18,84
2018-11-25,77
2018-12-02,77
2018-12-09,79
2018-12-16,71
2018-12-23,81
2018-12-30,71
