Category: All categories

Week,Energy: (Portugal)
2017-01-01,63
2017-01-08,83
2017-01-15,93
2017-01-22,78
2017-01-29,78
2017-02-05,77
2017-02-12,77
2017-02-19,77
2017-02-26,76
2017-03-05,86
2017-03-12,86
2017-03-19,79
2017-03-26,88
2017-04-02,65
2017-04-09,67
2017-04-16,64
2017-04-23,78
2017-04-30,83
2017-05-07,88
2017-05-14,87
2017-05-21,87
2017-05-28,100
2017-06-04,89
2017-06-11,76
2017-06-18,58
2017-06-25,58
2017-07-02,66
2017-07-09,55
2017-07-16,61
2017-07-23,50
2017-07-30,53
2017-08-06,48
2017-08-13,47
2017-08-20,50
2017-08-27,53
2017-09-03,55
2017-09-10,55
2017-09-17,60
2017-09-24,63
2017-10-01,58
2017-10-08,68
2017-10-15,74
2017-10-22,71
2017-10-29,63
2017-11-05,68
2017-11-12,86
2017-11-19,68
2017-11-26,72
2017-12-03,69
2017-12-10,72
2017-12-17,58
2017-12-24,67
2017-12-31,77
2018-01-07,75
2018-01-14,79
2018-01-21,79
2018-01-28,73
2018-02-04,70
2018-02-11,66
2018-02-18,77
2018-02-25,75
2018-03-04,76
2018-03-11,87
2018-03-18,79
2018-03-25,79
2018-04-01,77
2018-04-08,72
2018-04-15,81
2018-04-22,81
2018-04-29,80
2018-05-06,73
2018-05-13,74
2018-05-20,88
2018-05-27,73
2018-06-03,93
2018-06-10,76
2018-06-17,62
2018-06-24,54
2018-07-01,54
2018-07-08,51
2018-07-15,52
2018-07-22,51
2018-07-29,54
2018-08-05,47
2018-08-12,49
2018-08-19,52
2018-08-26,50
2018-09-02,55
2018-09-09,52
2018-09-16,54
2018-09-23,71
2018-09-30,63
2018-10-07,81
2018-10-14,70
2018-10-21,74
2018-10-28,64
2018-11-04,70
2018-11-11,69
2018-11-18,70
2018-11-25,77
2018-12-02,74
2018-12-09,63
2018-12-16,55
2018-12-23,47
2018-12-30,60
