Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2011-01-02,69,48
2011-01-09,82,48
2011-01-16,81,53
2011-01-23,78,49
2011-01-30,74,50
2011-02-06,80,45
2011-02-13,72,43
2011-02-20,83,44
2011-02-27,79,50
2011-03-06,65,48
2011-03-13,89,43
2011-03-20,82,46
2011-03-27,75,48
2011-04-03,70,41
2011-04-10,51,39
2011-04-17,59,39
2011-04-24,73,39
2011-05-01,82,43
2011-05-08,82,39
2011-05-15,94,40
2011-05-22,100,44
2011-05-29,98,43
2011-06-05,91,44
2011-06-12,99,42
2011-06-19,80,39
2011-06-26,100,35
2011-07-03,88,49
2011-07-10,83,43
2011-07-17,92,45
2011-07-24,78,45
2011-07-31,57,47
2011-08-07,47,49
2011-08-14,45,52
2011-08-21,49,57
2011-08-28,43,62
2011-09-04,52,45
2011-09-11,48,43
2011-09-18,61,44
2011-09-25,62,51
2011-10-02,65,48
2011-10-09,63,48
2011-10-16,71,45
2011-10-23,64,51
2011-10-30,61,40
2011-11-06,66,45
2011-11-13,71,48
2011-11-20,66,48
2011-11-27,63,43
2011-12-04,58,45
2011-12-11,62,38
2011-12-18,41,27
2011-12-25,51,34
