Category: All categories

Week,Energy: (Portugal),Life insurance: (Portugal)
2015-01-04,87,3
2015-01-11,100,3
2015-01-18,93,4
2015-01-25,85,3
2015-02-01,75,5
2015-02-08,76,3
2015-02-15,70,3
2015-02-22,92,1
2015-03-01,84,4
2015-03-08,83,0
2015-03-15,84,3
2015-03-22,69,1
2015-03-29,58,4
2015-04-05,73,4
2015-04-12,82,2
2015-04-19,78,2
2015-04-26,73,4
2015-05-03,77,0
2015-05-10,84,3
2015-05-17,78,1
2015-05-24,84,3
2015-05-31,71,4
2015-06-07,75,2
2015-06-14,65,0
2015-06-21,56,3
2015-06-28,57,0
2015-07-05,50,1
2015-07-12,52,1
2015-07-19,48,3
2015-07-26,56,4
2015-08-02,41,3
2015-08-09,43,0
2015-08-16,46,2
2015-08-23,44,1
2015-08-30,55,2
2015-09-06,55,2
2015-09-13,50,2
2015-09-20,58,1
2015-09-27,65,2
2015-10-04,62,3
2015-10-11,67,4
2015-10-18,64,3
2015-10-25,69,2
2015-11-01,69,4
2015-11-08,62,2
2015-11-15,62,2
2015-11-22,71,3
2015-11-29,71,2
2015-12-06,63,3
2015-12-13,66,1
2015-12-20,39,2
2015-12-27,54,4
