Category: All categories

Week,Energy: (Portugal),Mobile phone: (Portugal)
2013-01-06,21,69
2013-01-13,20,71
2013-01-20,22,69
2013-01-27,20,68
2013-02-03,19,67
2013-02-10,15,69
2013-02-17,19,65
2013-02-24,21,63
2013-03-03,22,65
2013-03-10,18,69
2013-03-17,15,66
2013-03-24,18,75
2013-03-31,19,74
2013-04-07,22,65
2013-04-14,21,62
2013-04-21,19,68
2013-04-28,21,66
2013-05-05,20,68
2013-05-12,22,65
2013-05-19,24,63
2013-05-26,25,62
2013-06-02,20,64
2013-06-09,16,65
2013-06-16,16,60
2013-06-23,14,64
2013-06-30,12,63
2013-07-07,12,66
2013-07-14,14,68
2013-07-21,12,69
2013-07-28,10,76
2013-08-04,10,76
2013-08-11,8,80
2013-08-18,11,79
2013-08-25,11,74
2013-09-01,11,71
2013-09-08,13,80
2013-09-15,14,70
2013-09-22,15,77
2013-09-29,16,66
2013-10-06,16,74
2013-10-13,16,71
2013-10-20,17,72
2013-10-27,18,70
2013-11-03,19,69
2013-11-10,18,71
2013-11-17,19,73
2013-11-24,22,75
2013-12-01,25,83
2013-12-08,22,83
2013-12-15,17,79
2013-12-22,14,100
2013-12-29,16,85
