Category: All categories

Week,Mobile phone: (Portugal)
2007-01-07,61
2007-01-14,62
2007-01-21,54
2007-01-28,54
2007-02-04,57
2007-02-11,57
2007-02-18,58
2007-02-25,54
2007-03-04,54
2007-03-11,43
2007-03-18,51
2007-03-25,49
2007-04-01,54
2007-04-08,57
2007-04-15,53
2007-04-22,53
2007-04-29,54
2007-05-06,52
2007-05-13,45
2007-05-20,54
2007-05-27,51
2007-06-03,51
2007-06-10,54
2007-06-17,54
2007-06-24,52
2007-07-01,58
2007-07-08,63
2007-07-15,64
2007-07-22,62
2007-07-29,57
2007-08-05,63
2007-08-12,65
2007-08-19,64
2007-08-26,65
2007-09-02,57
2007-09-09,57
2007-09-16,51
2007-09-23,57
2007-09-30,52
2007-10-07,55
2007-10-14,60
2007-10-21,72
2007-10-28,62
2007-11-04,63
2007-11-11,60
2007-11-18,63
2007-11-25,88
2007-12-02,82
2007-12-09,81
2007-12-16,66
2007-12-23,100
2007-12-30,71
