Category: All categories

Week,Energy: (Portugal),Petroleum: (Portugal)
2009-01-04,93,8
2009-01-11,78,10
2009-01-18,71,12
2009-01-25,73,5
2009-02-01,67,9
2009-02-08,72,8
2009-02-15,90,10
2009-02-22,71,8
2009-03-01,100,5
2009-03-08,88,8
2009-03-15,82,5
2009-03-22,89,7
2009-03-29,58,6
2009-04-05,60,4
2009-04-12,79,7
2009-04-19,79,7
2009-04-26,79,7
2009-05-03,82,7
2009-05-10,77,10
2009-05-17,76,11
2009-05-24,96,12
2009-05-31,77,8
2009-06-07,58,9
2009-06-14,71,9
2009-06-21,52,4
2009-06-28,53,8
2009-07-05,57,4
2009-07-12,50,6
2009-07-19,44,7
2009-07-26,44,3
2009-08-02,40,7
2009-08-09,39,6
2009-08-16,33,9
2009-08-23,35,4
2009-08-30,40,5
2009-09-06,31,4
2009-09-13,48,4
2009-09-20,49,6
2009-09-27,53,7
2009-10-04,51,8
2009-10-11,55,7
2009-10-18,63,7
2009-10-25,58,6
2009-11-01,67,6
2009-11-08,66,12
2009-11-15,70,6
2009-11-22,60,6
2009-11-29,55,4
2009-12-06,58,8
2009-12-13,61,9
2009-12-20,32,1
2009-12-27,36,4
