Category: All categories

Week,Furniture: (Portugal)
2009-01-04,72
2009-01-11,73
2009-01-18,76
2009-01-25,75
2009-02-01,79
2009-02-08,77
2009-02-15,85
2009-02-22,90
2009-03-01,70
2009-03-08,87
2009-03-15,86
2009-03-22,63
2009-03-29,72
2009-04-05,74
2009-04-12,87
2009-04-19,77
2009-04-26,81
2009-05-03,84
2009-05-10,71
2009-05-17,73
2009-05-24,68
2009-05-31,75
2009-06-07,65
2009-06-14,73
2009-06-21,64
2009-06-28,72
2009-07-05,78
2009-07-12,72
2009-07-19,68
2009-07-26,100
2009-08-02,77
2009-08-09,81
2009-08-16,87
2009-08-23,89
2009-08-30,86
2009-09-06,71
2009-09-13,83
2009-09-20,82
2009-09-27,88
2009-10-04,75
2009-10-11,85
2009-10-18,84
2009-10-25,85
2009-11-01,76
2009-11-08,83
2009-11-15,79
2009-11-22,75
2009-11-29,69
2009-12-06,82
2009-12-13,64
2009-12-20,46
2009-12-27,64
2010-01-03,84
2010-01-10,83
2010-01-17,90
2010-01-24,79
2010-01-31,81
2010-02-07,71
2010-02-14,68
2010-02-21,77
2010-02-28,77
2010-03-07,74
2010-03-14,71
2010-03-21,77
2010-03-28,80
2010-04-04,76
2010-04-11,67
2010-04-18,77
2010-04-25,71
2010-05-02,64
2010-05-09,64
2010-05-16,57
2010-05-23,64
2010-05-30,60
2010-06-06,66
2010-06-13,64
2010-06-20,66
2010-06-27,73
2010-07-04,67
2010-07-11,84
2010-07-18,81
2010-07-25,77
2010-08-01,77
2010-08-08,75
2010-08-15,73
2010-08-22,77
2010-08-29,69
2010-09-05,63
2010-09-12,86
2010-09-19,72
2010-09-26,59
2010-10-03,69
2010-10-10,66
2010-10-17,63
2010-10-24,61
2010-10-31,62
2010-11-07,68
2010-11-14,69
2010-11-21,67
2010-11-28,63
2010-12-05,50
2010-12-12,53
2010-12-19,50
2010-12-26,47
