Category: All categories

Week,Television: (Portugal)
2008-01-06,52
2008-01-13,58
2008-01-20,58
2008-01-27,61
2008-02-03,64
2008-02-10,57
2008-02-17,62
2008-02-24,56
2008-03-02,71
2008-03-09,58
2008-03-16,61
2008-03-23,58
2008-03-30,56
2008-04-06,57
2008-04-13,59
2008-04-20,62
2008-04-27,65
2008-05-04,60
2008-05-11,67
2008-05-18,72
2008-05-25,59
2008-06-01,60
2008-06-08,100
2008-06-15,59
2008-06-22,52
2008-06-29,50
2008-07-06,57
2008-07-13,56
2008-07-20,57
2008-07-27,55
2008-08-03,61
2008-08-10,65
2008-08-17,69
2008-08-24,71
2008-08-31,62
2008-09-07,59
2008-09-14,70
2008-09-21,71
2008-09-28,97
2008-10-05,71
2008-10-12,63
2008-10-19,72
2008-10-26,63
2008-11-02,88
2008-11-09,59
2008-11-16,63
2008-11-23,79
2008-11-30,69
2008-12-07,74
2008-12-14,74
2008-12-21,79
2008-12-28,75
