Category: All categories

Week,Shoes: (Portugal)
2013-01-06,60
2013-01-13,56
2013-01-20,61
2013-01-27,60
2013-02-03,64
2013-02-10,57
2013-02-17,61
2013-02-24,70
2013-03-03,69
2013-03-10,69
2013-03-17,73
2013-03-24,73
2013-03-31,63
2013-04-07,68
2013-04-14,83
2013-04-21,73
2013-04-28,75
2013-05-05,72
2013-05-12,77
2013-05-19,77
2013-05-26,68
2013-06-02,75
2013-06-09,72
2013-06-16,61
2013-06-23,66
2013-06-30,60
2013-07-07,62
2013-07-14,66
2013-07-21,63
2013-07-28,60
2013-08-04,60
2013-08-11,56
2013-08-18,64
2013-08-25,64
2013-09-01,62
2013-09-08,70
2013-09-15,73
2013-09-22,84
2013-09-29,86
2013-10-06,80
2013-10-13,83
2013-10-20,78
2013-10-27,79
2013-11-03,87
2013-11-10,73
2013-11-17,79
2013-11-24,74
2013-12-01,74
2013-12-08,76
2013-12-15,65
2013-12-22,73
2013-12-29,79
2014-01-05,67
2014-01-12,73
2014-01-19,71
2014-01-26,71
2014-02-02,67
2014-02-09,67
2014-02-16,76
2014-02-23,74
2014-03-02,74
2014-03-09,85
2014-03-16,82
2014-03-23,82
2014-03-30,84
2014-04-06,84
2014-04-13,85
2014-04-20,86
2014-04-27,85
2014-05-04,91
2014-05-11,84
2014-05-18,82
2014-05-25,81
2014-06-01,85
2014-06-08,80
2014-06-15,74
2014-06-22,74
2014-06-29,72
2014-07-06,79
2014-07-13,75
2014-07-20,80
2014-07-27,65
2014-08-03,72
2014-08-10,71
2014-08-17,68
2014-08-24,72
2014-08-31,77
2014-09-07,77
2014-09-14,95
2014-09-21,94
2014-09-28,86
2014-10-05,100
2014-10-12,88
2014-10-19,83
2014-10-26,79
2014-11-02,85
2014-11-09,89
2014-11-16,91
2014-11-23,80
2014-11-30,79
2014-12-07,76
2014-12-14,79
2014-12-21,75
2014-12-28,77
