Category: All categories

Week,Energy: (Portugal)
2016-01-03,91
2016-01-10,84
2016-01-17,86
2016-01-24,81
2016-01-31,75
2016-02-07,66
2016-02-14,80
2016-02-21,87
2016-02-28,89
2016-03-06,83
2016-03-13,78
2016-03-20,64
2016-03-27,67
2016-04-03,79
2016-04-10,90
2016-04-17,83
2016-04-24,84
2016-05-01,90
2016-05-08,94
2016-05-15,100
2016-05-22,92
2016-05-29,93
2016-06-05,75
2016-06-12,81
2016-06-19,55
2016-06-26,62
2016-07-03,57
2016-07-10,56
2016-07-17,59
2016-07-24,57
2016-07-31,46
2016-08-07,44
2016-08-14,44
2016-08-21,53
2016-08-28,62
2016-09-04,60
2016-09-11,58
2016-09-18,66
2016-09-25,73
2016-10-02,74
2016-10-09,72
2016-10-16,71
2016-10-23,77
2016-10-30,68
2016-11-06,85
2016-11-13,81
2016-11-20,76
2016-11-27,72
2016-12-04,66
2016-12-11,61
2016-12-18,50
2016-12-25,57
2017-01-01,60
2017-01-08,79
2017-01-15,88
2017-01-22,74
2017-01-29,74
2017-02-05,73
2017-02-12,73
2017-02-19,73
2017-02-26,72
2017-03-05,82
2017-03-12,81
2017-03-19,74
2017-03-26,83
2017-04-02,61
2017-04-09,63
2017-04-16,61
2017-04-23,74
2017-04-30,79
2017-05-07,83
2017-05-14,83
2017-05-21,82
2017-05-28,95
2017-06-04,84
2017-06-11,72
2017-06-18,55
2017-06-25,55
2017-07-02,63
2017-07-09,52
2017-07-16,58
2017-07-23,48
2017-07-30,50
2017-08-06,45
2017-08-13,44
2017-08-20,48
2017-08-27,50
2017-09-03,52
2017-09-10,52
2017-09-17,57
2017-09-24,60
2017-10-01,55
2017-10-08,64
2017-10-15,70
2017-10-22,67
2017-10-29,60
2017-11-05,64
2017-11-12,81
2017-11-19,64
2017-11-26,68
2017-12-03,66
2017-12-10,68
2017-12-17,55
2017-12-24,64
2017-12-31,73
