Category: All categories

Week,Energy: (Portugal),Petroleum: (Portugal)
2017-01-01,62,21
2017-01-08,86,17
2017-01-15,94,15
2017-01-22,82,20
2017-01-29,79,22
2017-02-05,80,20
2017-02-12,78,16
2017-02-19,81,14
2017-02-26,79,11
2017-03-05,86,19
2017-03-12,88,17
2017-03-19,81,18
2017-03-26,88,16
2017-04-02,66,17
2017-04-09,66,15
2017-04-16,67,16
2017-04-23,77,18
2017-04-30,84,18
2017-05-07,88,18
2017-05-14,86,15
2017-05-21,87,17
2017-05-28,100,22
2017-06-04,91,20
2017-06-11,78,13
2017-06-18,59,13
2017-06-25,60,17
2017-07-02,64,15
2017-07-09,58,16
2017-07-16,62,14
2017-07-23,50,14
2017-07-30,53,18
2017-08-06,47,14
2017-08-13,46,11
2017-08-20,52,8
2017-08-27,53,15
2017-09-03,53,11
2017-09-10,55,12
2017-09-17,61,15
2017-09-24,62,20
2017-10-01,60,12
2017-10-08,69,16
2017-10-15,73,12
2017-10-22,68,11
2017-10-29,66,12
2017-11-05,70,16
2017-11-12,87,17
2017-11-19,68,14
2017-11-26,74,14
2017-12-03,70,18
2017-12-10,75,15
2017-12-17,58,15
2017-12-24,68,11
2017-12-31,79,15
